Kuerzel	Name	Beschreibung	Dauer	Kosten	Ziel	Zeit	Ziel	Probe1	Probe2	Probe3
SPELL_79	Höllenpein	Der Verzauberte erleidet Schmerzen, die sich oft in Krämpfen manifestieren. Der Höllenpein ersetz bei Folterungen das Talent *Einschüchtern (Folter)*. Das Opfer muss eine Vergleichsprobe mit *Selbstbeherrschung (Folter widerstehen)* gegen den Höllenpein bestehen, die um die Schmerzstufe des Zauberspruchs erschwert ist (zusätzlich zu allen sonstigen Modifikatoren).<br>	4 Aktionen	8 AsP	Berührung	5 Minuten	Lebewesen	MU	IN	CH
SPELL_80	Ignisphaero	Aus den Händen des Zaubernden schießt ein Feuerball, der in gerader Linie sein Ziel trifft. Der Treffer des Feuerballs erfolgt am Ende der Zauberdauer, der Magier muss keine zusätzliche Aktion dafür aufwenden. Der Feuerball explodiert, wenn er sein Ziel oder auf ein großes, festes Hindernis trifft (z. B. eine Wand oder einen Schild). Verlässt der Feuerball die Reichweite, ohne ein Ziel zu treffen, so löst er sich auf. Auch die Gefährten des Zauberers können von dem Feuerball getroffen werden, wenn er explodiert.<br>	4 Aktionen	32 AsP	32 Schritt	sofort	Zone	MU	KL	KO
SPELL_81	Klarum Purum	Der Zauberspruch hebt die Wirkung eines Giftes auf. Die Giftstufe darf die QS nicht übersteigen, sonst wirkt der Zauber nicht und gilt als misslungen.	4 Aktionen	8 AsP	4 Schritt	sofort	Lebewesen	KL	IN	CH
SPELL_82	Pestilenz erspüren	Mit diesem Zauberspruch kann der Druide erspüren, welche Art von Krankheit das Opfer befallen hat. Je mehr QS er erzielt, desto mehr kann er über die Erkrankung herausfinden. Zudem erhält er eine Erleichterung von QS/2, wenn er zur Behandlung eines Patienten eine Probe auf *Heilkunde Krankheiten* ablegt. Dies gilt und funktioniert auch bei übernatürlichen Krankheiten.	4 Aktionen	8 AsP	1 Schritt	sofort	Kulturschaffende	MU	KL	IN
SPELL_83	Schlangenruf	Die Hexe ruft mit diesem Zauberspruch bis zu QS x 2 Schlangen herbei, die für sie kämpfen. Es erscheinen maximal so viele Schlangen, wie die Anzahl der Gegner der Hexe beträgt. Die Hexe muss einen Punkt dem die Tiere dann in einem Radius von QS/2 Schritt erscheinen. Die Hexe kann gezielt Gegner benennen, welche die Schlangen dann angreifen. Sie kann jedoch nicht mehrere Tiere auf einen Gegner hetzen. Stirbt ein Gegner, verschwindet die gerufene Schlange wieder im Nichts. Nach ihrem Erscheinen können die Schlangen sich beliebig weit vom Ort ihrer Herbeirufung wegbewegen. Die Schlangen sind magische Wesen, die aus Magie erschaffen wurden. Endet die Wirkungsdauer, verschwinden die Schlangen wieder im Nichts. Ihre Werte entsprechen der Stabschlange (siehe **Regelwerk** Seite **329**), allerdings sind sie ungiftig.	4 Aktionen	16 AsP	8 Schritt	bis zum Tod der Tiere, maximal jedoch 20 KR	Zone	MU	CH	CH
SPELL_84	Sensibar	Der Zaubernde kann die Gefühle des Verzauberten ergründen. Der Zauber offenbart nur die Gefühle selbst, nicht jedoch deren Grund oder Ursprung. Für den Zaubernden sind Proben auf *Menschenkenntnis (Lügen durchschauen* oder *Motivation erkennen)* gegen das Ziel des Sensibar um die erreichte QS erleichtert. Der Verzauberte kann bemerken, dass etwas Fremdes in seinen Geist blickt. Hierzu muss ihm eine Erfolgsprobe auf *Sinnesschärfe* erschwert um die QS des Zaubers gelingen. Er kann aber auch dann nicht zweifelsfrei sagen, wer dafür verantwortlich ist. Mit einer Probe auf *Willenskraft*, ebenfalls erschwert um die QS des Zaubers, kann er seine Gefühle gezielt unterdrücken. Ist der Verzauberte emotional stark aufgewühlt, ist dies jedoch nach Meisterentscheid um bis zu 3 Punkte zusätzlich erschwert.	4 Aktionen	8 AsP (Aktivierung des Zaubers), 4 AsP pro Minute	4 Schritt	aufrechterhaltend	Kulturschaffende	MU	IN	CH
SPELL_85	Sumus Elixiere	Durch diesen Zauberspruch kann der Druide Astralkraft in Zutaten für Alchimica einfließen lassen. Zum einen erhöht er die Haltbarkeit von Zutaten und/oder Alchimica um die Wirkungsdauer des Zauberspruchs, zum anderen hat erhält der Druide eine Erleichterung von 1 bei der Probe auf *Alchimie*, um das Elixier herzustellen.	4 Aktionen	8 AsP	Berührung	QS Jahre	Objekte (Zutaten für Alchimica)	KL	IN	IN
SPELL_86	Vipernblick	Mit diesem Zauberspruch kann die Hexe ein Opfer, solange sie ihren Blick nicht von ihm abwendet, hypnostieren und somit lähmen. Das Opfer erleidet je nach QS die folgenden Einbußen. Die Wirkung ist nicht kumulativ, es gelten die Auswirkungen der höchsten QS.	4 Aktionen	8 AsP + 4 pro 5 Kampfrunden	8 Schritt	aufrechterhaltend, maximal jedoch 50 KR	Kulturschaffende	MU	MU	CH
SPELL_87	Zunge betäuben	Zunge und Lippen des Opfers sind gelähmt. Seine Fähigkeit, verständlich zu sprechen ist daher stark beeinträchtigt. Der Verzauberte erhält den Status *Stumm*.	2 Aktionen	8 AsP	8 Schritt	QS x 5 Minuten	Kulturschaffende	KL	IN	CH
SPELL_88	Zwingtanz	Durch den Zauberspruch ist das Opfer dazu gezwungen, unkontrolliert zu tanzen. Es bewegt sich dabei nicht weiter als QS Schritt vom Ort seiner Verzauberung weg. Dabei vermeidet es Stürze in Spalten, Abgründe oder ähnliche Gefahren. Während des Tanzes erhält es den Status *Handlungsunfähig*. Allerdings gilt das Opfer nicht als *Liegend* und es verfügt noch über seine normale GS, die allerdings ausschließlich beim Tanzen zum Einsatz kommt. Alle Attacken und Fernkampfangriffe gegen das Opfer sind aufgrund der unvorhersehbaren Bewegungen um 4 Punkte erschwert.	4 Aktionen	16 AsP	8 Schritt	QS in KR	Kulturschaffende	MU	KL	CH
SPELL_89	Ablativum	Der Spruch erschafft eine unsichtbare Kuppel um den Magier herum, die sich mit ihm bewegt und darin Befindliches vor Zaubern schützt. Die Kuppel ist eigentlich eine Kugel, da jedoch der Magier meistens auf dem Boden steht, ist die Kugelform nur selten relevant. Die Kuppel verfügt über einen Radius von 3 Schritt und eine Schildstärke in Höhe von QS x 3. Wird ein freundlicher oder feindlicher Zauber gegen ein unter der Kuppel befindliches Ziel gerichtet, vermindert die Schildstärke dessen QS. Sinkt diese dadurch auf 0, tritt kein Effekt ein. Die Schildstärke wird jedoch im Rahmen dieses Prozesses verbraucht (–1 QS je aufgehaltener QS), und der Ablativum endet vorzeitig, sobald seine QS unter 1 fällt.<br>	1 Aktion	8 AsP	selbst	5 Minuten	Zone	MU	KL	CH
SPELL_90	Abvenenum	Bis zu 5 Stein an Getränken und Speisen werden von allen Giften und Krankheitskeimen befreit, deren Stufe die QS nicht übersteigt. Ist bereits jemand durch die Speisen oder Getränke vergiftet worden, wirkt der Abvenenum bei ihm nicht mehr.	8 Aktionen	4 AsP	1 Schritt	sofort	Objekt	KL	IN	FF
SPELL_91	Adlerschwinge	Der Zauberer verwandelt sich in ein Fluglebewesen seiner Wahl, das jedoch maximal die Größenkategorie klein aufweisen darf. Während der Wirkungsdauer verwendet der Zauberer die körperlichen Werte des Tieres, einschließlich seiner Eigenschaften, Talente und Kampfwerte. Eine niedrige LE wird bei der Verwandlung anteilsmäßig angerechnet, gleiches geschieht bei der Rückverwandlung. Die geistigen Werte des Zauberers bleiben ebenso wie sein Bewusstsein erhalten.<br>	8 Aktionen	8 AsP (Aktivierung des Zaubers) + 4 AsP pro Stunde	selbst	aufrechterhaltend	Kulturschaffende	MU	KL	GE
SPELL_92	Aeolito	Der Aeolito erschafft einen stürmischen Wind, der beim Ziel je nach QS Schaden und den Status *Liegend* verursacht.	1 Aktion	8 AsP	16 Schritt	sofort	Lebewesen	KL	CH	KO
SPELL_93	Alpgestalt	Den Verzauberten befällt Angst und er erhält eine Stufe des Zustands *Furcht*.	1 Aktion	4 AsP	8 Schritt	QS Kampfrunden	Lebewesen	MU	CH	GE
SPELL_94	Altisonus	Die Stimme des Zauberers wird deutlich lauter und beeindruckender und vermag jede andere in einem Raum zu übertönen. Die Reichweite seiner Stimme verdoppelt sich.	4 Aktionen	4 AsP	selbst	QS x 5 Minuten	Wesen	MU	CH	KO
SPELL_95	Angst auslösen	Alle Kulturschaffenden in einem Radius von QS x 2 Schritt um den Zauberer werden von panischer Angst vor ihm erfüllt. Solange sie sich im Wirkungsradius aufhalten, erleiden sie 2 Stufen des Zustands *Furcht*. Die Opfer müssen den Zauberer nicht sehen, damit der Spruch seine Wirkung entfaltet. Ist ihre SK aber höher als die QS des Zaubers, sind sie von den Auswirkungen nicht betroffen.	4 Aktionen	16 AsP	selbst	QS x 2 KR	Kulturschaffende	MU	CH	GE
SPELL_96	Archofaxius	Aus den Fingern des Zaubernden schießt ein Erzstrahl, der in gerader Linie sein Ziel trifft. Der Magier muss keine zusätzliche Aktion aufwenden, um nach dem Wirken des Zaubers zu treffen. Das Treffen ist in der Zauberdauer inbegriffen.<br>	2 Aktionen	8 AsP	16 Schritt	sofort	alle	MU	KL	CH
SPELL_97	Archosphaero	Aus den Händen des Zaubernden schießt ein Erzball, der in gerader Linie sein Ziel trifft. Das Treffen ist in der Zauberdauer inbegriffen, der Magier muss also keine zusätzliche Aktion aufwenden. Der Erzball explodiert, wenn er sein Ziel oder auf ein großes, festes Hindernis trifft (z. B. eine Wand oder einen Schild). Verlässt der Erzball die Reichweite, ohne ein Ziel zu treffen, so löst er sich auf. Auch die Gefährten des Zauberers können getroffen werden, wenn der Erzball explodiert. Der Radius der Explosion beträgt 5 Schritt. Der Schaden beträgt einen Schritt um das Zentrum der Explosion herum 2W6 + (QS x 3) Trefferpunkte (auch gegen leblose Objekte als Strukturschaden). Pro Schritt Entfernung von diesem Bereich verringert sich der Schaden um 3 TP. Der Erzball trifft automatisch, wenn man ihm nicht aktiv zu entgehen versucht. Dazu muss eine Verteidigung eingesetzt und eine Probe auf *Körperbeherrschung (Kampfmanöver)* abgelegt werden. Pro QS hat der Held sich 1 Schritt weit weg vom Zentrum der Explosion bewegt. Trifft der Erzball sein Ziel, werden die TP durch den RS des Ziels vermindert. Alle getroffenen Ziele erhalten außerdem bei 1-3 auf 1W6 1 Stufe des Zustands *Belastung*, der erst nach 5 Minuten wieder endet.	4 Aktionen	32 AsP	32 Schritt	sofort	Zone	MU	KL	KO
SPELL_98	Aromatis Illusionis	Mit diesem Illusionszauber lassen sich beliebige Gerüche und Geschmäcker erzeugen, die jedoch niemals so intensiv sein können, dass sie bei betroffenen Personen Übelkeit hervorrufen könnten. Details zum Thema Illusionen finden sich im **Regelwerk** auf Seite **259**.	4 Aktionen	4 AsP (Aktivierung des Zaubers) + 2 AsP pro 5 Minuten	8 Schritt	aufrechterhaltend	Zone (Radius 3 x 3 Schritt)	KL	IN	CH
SPELL_99	Attributo (Charisma)	Durch den Zauber wird das Ziel charismatischer und ansprechender. Für jede erreichte QS bekommt der Verzauberte einen Bonus. Die Boni sind kumulativ, das heißt, bei QS 3 hat der Träger insgesamt CH +2 und SK +1.	8 Aktionen	8 AsP (Aktivierung des Zaubers) + 4 AsP pro 10 Minuten	Berührung	aufrechterhaltend	Kulturschaffende	KL	IN	CH
SPELL_100	Attributo (Fingerfertigkeit)	Durch den Zauber wird das Ziel flinker und geschickter. Für jede erreichte QS bekommt der Verzauberte einen Bonus. Die Boni sind kumulativ, das heißt bei QS 3 hat der Träger insgesamt FF +2 und FK +1.	8 Aktionen	8 AsP (Aktivierung des Zaubers) + 4 AsP pro 10 Minuten	Berührung	aufrechterhaltend	Kulturschaffende	KL	IN	FF
SPELL_101	Attributo (Klugheit)	Durch den Zauber wird das Ziel klüger und vernünftiger. Für jede erreichte QS bekommt der Verzauberte einen Bonus. Die Boni sind kumulativ, das heißt bei QS 3 hat der Träger insgesamt KL +2 und SK +1.	8 Aktionen	8 AsP (Aktivierung des Zaubers) + 4 AsP pro 10 Minuten	Berührung	aufrechterhaltend	Kulturschaffende	KL	KL	IN
SPELL_102	Aufwecken	Ein schlafendes Ziel erwacht sofort aus seinen Träumen, und auch der Status *Bewusstlos* wird durch diesen Zauber aufgehoben. Das Ziel leidet aber danach für 6 – QS KR an 1 Stufe *Verwirrung*.	2 Aktionen	4 AsP	16 Schritt	sofort	Lebewesen	MU	IN	CH
SPELL_103	Auge des Limbus	Der Spruch erschafft einen Strudel in den angrenzenden Limbus. Der Zauberer muss einen Mittelpunkt innerhalb der Reichweite des Zauberspruchs benennen, um den herum sich die Zone mit einem Radius von QS Schritt ausbreitet. Alle darin befindlichen Wesen werden in den Limbus gezogen, und auch unbefestigte Objekte sind betroffen. Jede KR muss eine Probe auf *Kraftakt (Ziehen & Zerren)* gelingen, ansonsten wird man 2 Schritt näher zum Zentrum gesogen. Sucht man Halt an einem befestigten Gegenstand, ist die *Kraftakt*-Probe um 1 erleichtert.<br>	16 Aktionen	32 AsP	32 Schritt	QS Kampfrunden	Zone	MU	IN	KK
SPELL_104	Aureolus	Das Objekt wird von einem Glanz überzogen, der es wertvoller und prachtvoller erscheinen lässt. Der Glanz stellt jedoch keine Lichtquelle dar. Maximal kann eine Fläche von einem Rechtschritt überzogen werden. Proben auf *Handel (Feilschen)*, um das verzauberte Objekt zu verkaufen, sind um QS/2 Punkte erleichtert. Dem Käufer steht nach dem Ende der Wirkungsdauer eine Probe auf *Willenskraft* zu. Gelingt die Probe, erkennt er, dass er betrogen wurde. Bei Misslingen empfindet er den Handel vielleicht als schlechtes Geschäft, aber nicht als Betrug. Details zum Thema Illusionen finden sich im **Regelwerk** auf Seite **259**.	4 Aktionen	2 AsP	Berührung	QS Stunden	Objekte	IN	CH	FF
SPELL_105	Auris Illusionis	Mit diesem Illusionszauber ist die Täuschung des Gehörsinnes möglich. Es lassen sich Geräusche beliebiger Art erzeugen, die von allen Wesen in Hörreichweite wahrgenommen werden können. Die Lautstärke kann frei gewählt werden, vermag jedoch niemals ein Maß anzunehmen, das Schmerzen oder gar Schaden verursacht. Details zum Thema Illusionen finden sich im **Regelwerk** auf Seite **259**.	4 Aktionen	4 AsP (Aktivierung des Zaubers) + 2 AsP pro 5 Minuten	8 Schritt	aufrechterhaltend	Zone (Radius von 5 x 5 Schritt)	KL	IN	CH
SPELL_106	Band und Fessel	Das Ziel ist während der Wirkungsdauer nicht dazu in der Lage, sich weiter als 7 Schritt von dem Ort zu entfernen, an dem es sich am Ende der Zauberdauer aufhält. Wird es mit Gewalt herausgedrängt, erhält es solange 1 Stufe des Zustands *Schmerz* pro KR, bis es wieder in den Wirkungsbereich zurückkehrt.	16 Aktionen	8 AsP	8 Schritt	QS x 2 Stunden	Lebewesen	KL	CH	KK
SPELL_107	Blick aufs Wesen	Dem Zauberer werden die Werte des Ziels offenbart. Er kann pro erreichter QS eine Kategorie auswählen, die für ihn offengelegt wird: Körperliche Eigenschaften, LE und ZK, Kampftechniken, Körperliche Vor- und Nachteile, Körperliche Sonderfertigkeiten, Kampfsonderfertigkeiten, aktuell vorhandene Zustände und Status, Körpertalente.	4 Aktionen	4 AsP	8 Schritt	sofort	Wesen	KL	IN	CH
SPELL_108	Blindheit	Das Ziel verliert schlagartig die Fähigkeit, seine Umgebung optisch wahrzunehmen, und es erhält dadurch den Status *Blind*.	16 Aktionen	16 AsP	8 Schritt	QS x 5 Minuten	Kulturschaffende	KL	IN	CH
SPELL_109	Chamaelioni	Steht der Zauberer still, verschmelzen Körper und Kleidung optisch mit der Umgebung (jedoch nicht Rüstungen , Waffen oder andere Ausrüstung). Eine Entdeckung ist nur dann möglich, wenn eine Vergleichsprobe zwischen *Sinnesschärfe (Hinterhalte entdecken, Suchen* oder *Wahrnehmen)* erschwert um QS gegen *Verbergen* gelingt. Sobald er sich bewegt, verfällt die Tarnung. Details zum Thema Illusionen finden sich im **Regelwerk** auf Seite **259**.	2 Aktionen	8 AsP	selbst	QS Minuten	Lebewesen	IN	CH	GE
SPELL_110	Dämonenbann	Ein Zauber des Merkmals Dämonisch wird aufgehoben, solange dessen QS nicht höher ist als die QS des Dämonenbanns. Der Bann entfaltet keine Wirkung gegen Zauber, deren Wirkung sofort eintritt (z. B. einmaliger Schaden). Auch gegen Zauber, deren Wirkung bereits vollendet ist, oder permanent wirkende Sprüche hilft er nicht. Wird der Dämonenbann gegen einen Zauber der Zielkategorie Zone eingesetzt, genügt es, wenn sich ein Teil von dieser innerhalb der Reichweite befindet.	4 Aktionen	8 AsP bzw. 16 AsP für Zauber mit Zielkategorie Zone	8 Schritt	sofort	alle	MU	CH	KO
SPELL_111	Dämonenschild	Der Spruch erschafft eine unsichtbare, 3 Schritt im Radius messende Kuppel um den Magier herum. Die Kuppel ist eigentlich eine Kugel, da jedoch der Magier meistens auf dem Boden steht, ist die Kugelform nur selten relevant. Dämonen können in sie eindringen, aber alle ihre Angriffe (und somit die TP) werden innerhalb des Radius von der Magie der Kuppel absorbiert. Dämonen werden teilweise halbmateriell und schlagen durch ihre Gegner hindurch oder ihre Angriffe werden von der Kuppel aufgesaugt wie Wasser von einem Schwamm. Zu diesem Zweck verfügt die Kuppel über eine Schildstärke in Höhe von AsP + (QS x 3), die TP in gleicher Höhe zu absorbieren vermag.	1 Aktion	mindestens 4 AsP	selbst	5 Minuten	Zone	MU	KL	CH
SPELL_112	Debilitatio	Der Spruch erschafft eine unbewegliche kugelförmige Zone, die darin befindlichen Dämonen und Elementaren eine Erschwernis in Höhe der QS/2 auf alle Proben einbringt. Der Zauberer muss einen Mittelpunkt innerhalb der Reichweite des Zauberspruchs benennen, um den herum sich die Zone mit einem Radius von QS x 2 Schritt ausbreitet.	2 Aktionen	16 AsP	selbst	QS x 3 Kampfrunden	Zone	MU	KL	CH
SPELL_113	Desintegratus	Das verzauberte Objekt verliert QS x 10 Strukturpunkte. Sinken die Strukturpunkte dadurch unter 1, zerfällt das Objekt zu Staub.<br>	8 Aktionen	16 AsP	8 Schritt	sofort	Profane Objekte	KL	CH	KK
SPELL_114	Einflussbann	Ein Zauber des Merkmals Einfluss wird aufgehoben, solange dessen QS nicht höher ist als die QS des Einflussbanns. Es ist nicht möglich, den Bann auf die Auswirkungen eines Zaubers anzuwenden, dessen Wirkungsdauer bereits abgelaufen ist oder sofortiger Natur war. Ebenso können keine Zauber mit der Wirkungsdauer permanent gebannt werden. Handelt es sich um einen Zauber der Zielkategorie Zone, genügt es, wenn sich ein Teil von dieser innerhalb der Reichweite befindet.	4 Aktionen	8 AsP bzw. 16 AsP für Zauber mit Zielkategorie Zone	8 Schritt	sofort	alle	KL	IN	CH
SPELL_115	Eisenrost	Metallene Gegenstände verlieren 20 Strukturpunkte. Sinken die Strukturpunkte dadurch unter 1, zerfrisst der Rost das Objekt so stark, dass es nicht mehr verwendbar ist.<br>	4 Aktionen	8 AsP	4 Schritt	sofort	Profane Objekte	KL	CH	GE
SPELL_116	Elementarbann	Ein Zauber des Merkmals Elementar wird aufgehoben, wenn dessen QS nicht höher als die QS des Elementarbanns ist. Der Bann entfaltet keine Wirkung gegen Zauber, deren Wirkung sofort eintritt (z. B. einmaliger Schaden). Auch gegen Zauber, deren Wirkung bereits vollendet ist, oder permanent wirkende Sprüche hilft er nicht. Wird der Elementarbann gegen einen Zauber der Zielkategorie Zone eingesetzt, genügt es, wenn sich ein Teil von dieser innerhalb der Reichweite befindet.	4 Aktionen	8 AsP bzw. 16 AsP für Zauber mit Zielkategorie Zone	8 Schritt	sofort	alle	IN	CH	KO
SPELL_117	Elfenstimme	Das Ziel vernimmt in seinem Geist vom Zauberer gewählte akustische Signale, beispielsweise gesprochene Worte oder eine Melodie. Dem Empfänger ist bewusst, dass es sich nicht um natürliche Geräusche handelt. Zudem kann er auf diesem Wege nicht unfreiwillig abgelenkt werden. Das Ziel des Zaubers und der Zaubernde können sich nach Ende der Zauberdauer auch beliebig weit voneinander fortbewegen. Wichtig ist nur, dass der Zaubernde weiterhin Sichtkontakt zur Zielperson halten kann.	2 Aktionen	4 AsP	4 Schritt	QS x 3 Kampfrunden	Lebewesen	IN	CH	KO
SPELL_118	Erinnerung verlasse dich	Der Zauber unterdrückt alle persönlichen Erinnerungen des Opfers an die letzten QS Minuten. Für die Wirkungsdauer kann es sich an diesen Zeitraum weder erinnern noch Proben auf entsprechend erlangtes Wissen ablegen. Seine Reflexe sind davon jedoch ebenso wenig betroffen wie zuvor erlangtes Wissen und Fähigkeiten, weshalb auf diese uneingeschränkt geprobt werden darf. Allerdings ist das Ziel in den ersten 5 KR etwas desorientiert und erleidet bis zum Ende der 5. KR eine Stufe *Verwirrung*.	4 Aktionen	8 AsP	Berührung	QS x 5 Minuten	Kulturschaffende	MU	IN	CH
SPELL_119	Exposami	Der Zauberer kann alle Lebewesen innerhalb der Reichweite des Zauberspruchs spüren. Pflanzen, Pilze und Lebewesen, die kleiner als eine Ratte sind, können durch den Zauberspruch nicht ausgemacht werden. Der Zauberer kann erkennen, um was für einen Typus von Lebewesen es sich handelt (siehe **Regelwerk** Seite **355**).<br>	2 Aktionen	4 AsP	QS x 20 Schritt	10 Kampfrunden	Lebewesen (außer Pflanzen, Pilze und Wesen, die kleiner als eine Ratte sind)	KL	IN	CH
SPELL_120	Favilludo	Das Ziel des Zaubers wird von einem Schwarm tanzender Funken umgeben. Ihre Farbe kann dabei beliebig gewählt werden. Alle Angriffe gegen den Zauberer sind um 1 erschwert. Details zum Thema Illusionen finden sich im **Regelwerk** auf Seite **259**.	1 Aktion	4 AsP	selbst	QS Kampfrunden	Kulturschaffende	IN	FF	CH
SPELL_121	Fischflosse	Der Zauberer verwandelt sich in ein Wasserlebewesen seiner Wahl, das jedoch maximal die Größenkategorie klein aufweisen darf.<br>	8 Aktionen	8 AsP (Aktivierung des Zaubers) + 4 AsP pro Stunde	selbst	aufrechterhaltend	Kulturschaffende	MU	IN	GE
SPELL_122	Foramen	Durch diesen Zauberspruch öffnen sich einfache Schlösser automatisch, bei komplizierten Schlössern wird es leichter, sie zu öffnen. Pro QS werden Proben auf *Schlösserknacken (Bartschlösser* oder *Kombinationsschlösser)* und *Kraftakt (Eintreten & Zertrümmern)* gegen das Schloss um 1 erleichtert. Sollte der Gesamtmodifikator zum Knacken eines Schlosses dadurch zu einer Erleichterung werden, springt das Schloss diceAmountblicklich auf.<br>	2 Aktionen	8 AsP	Berührung	5 Minuten	Objekte (Schlösser)	KL	IN	FF
SPELL_123	Fortifex	Durch den Fortifex entsteht eine durchscheinende, allerdings leicht flimmernde (und damit sichtbare) Wand, die für physische Objekte undurchdringlich ist. Die Wand kann beispielsweise Pfeile, Bolzen, einen Ignifaxius oder Lebewesen aufhalten. Sie schützt nicht vor Hitze, Kälte, Licht, Gasen, körperlosen Wesen oder Zaubern und Liturgien, die keine physische Komponente aufweisen. Der Zauberer muss einen Mittelpunkt innerhalb der Reichweite des Zauberspruchs benennen. Von dort aus wirkt gradlinig eine Barriere, die QS x 2 Schritt lang ist. Den exakten Verlauf durch den Mittelpunkt kann der Zauberer festlegen. Die Höhe der Barriere beträgt 3 Schritt. Eine Tiefe besitzt die Wand nicht. Man kann sie nur aufgerichtet platzieren, nicht flach hinlegen oder schräg stellen. Die Wand besitzt 100 Strukturpunkte. Sollten die Strukturpunkte auf 0 oder darunter sinken, löst sie sich auf.	4 Aktionen	16 AsP	8 Schritt	30 Kampfrunden	Zone	MU	IN	KO
SPELL_124	Gedankenbilder	Das Ziel vernimmt in seinem Geist vom Zauberer gewählte Bilder, beispielsweise dessen Sinneseindrücke, eine Warnung vor drohender Gefahr oder den Plan für ein gemeinsames Vorgehen. Dem Empfänger ist bewusst, dass ihm diese Bilder eingegeben werden. Zudem kann er auf diesem Wege nicht unfreiwillig abgelenkt werden.<br>	2 Aktionen	4 AsP	4 Schritt	QS x 3 Kampfrunden	Lebewesen	IN	CH	KO
SPELL_125	Gefunden	Der Zauberer kann die Richtung bestimmen, in der sich ein Objekt befindet. Er muss dieses insgesamt mindestens einen Monat lang bei sich getragen haben oder über eine magische Verbindung zu ihm verfügen. Ist das Objekt weiter als QS x 3 Schritt von ihm entfernt, scheitert der Zauber.	8 Aktionen	2 AsP	selbst	sofort	Objekte	KL	IN	GE
SPELL_126	Haselbusch	Der Zauber regt das Wachstum von Pflanzen an. Der Zauberer muss eine Pflanze oder Pflanzensamen an dem Objekt, das er erklettern will, ablegen und warten. Am Ende der Zauberdauer wächst die Pflanze pro KR 1 Schritt (bis maximal QS x 3 Schritt) hoch und erleichtert *Klettern*-Proben an der ausgewählten Stelle um QS/2 Punkte.	16 Aktionen	4 AsP	2 Schritt	1 Tag	Pflanze	IN	CH	FF
SPELL_127	Heilungsbann	Ein Zauber mit dem Merkmal Heilung wird aufgehoben, wenn dessen QS nicht höher ist als die QS des Heilungsbanns. Der Bann entfaltet keine Wirkung gegen Zauber, deren Wirkung sofort eintritt (z. B. einmalige Heilung). Auch gegen Zauber, deren Wirkung bereits vollendet ist, oder permanent wirkende Sprüche wirkt er nicht. Wird der Heilungsbann gegen einen Zauber der Zielkategorie Zone eingesetzt, genügt es, wenn sich ein Teil von dieser innerhalb der Reichweite befindet.	4 Aktionen	8 AsP bzw. 16 AsP für Zauber mit Zielkategorie Zone	8 Schritt	sofort	alle	KL	CH	FF
SPELL_128	Hellsichtbann	Ein Zauber des Merkmals Hellsicht wird aufgehoben, wenn dessen QS nicht höher ist als die QS des Hellsichtbanns. Der Bann entfaltet keine Wirkung gegen Zauber, deren Wirkung sofort eintritt. Auch gegen Zauber, deren Wirkung bereits vollendet ist, oder permanent wirkende Sprüche hilft er nicht. Wird der Hellsichtbann gegen einen Zauber der Zielkategorie Zone eingesetzt, genügt es, wenn sich ein Teil von dieser innerhalb der Reichweite befindet.	4 Aktionen	8 AsP bzw. 16 AsP für Zauber mit Zielkategorie Zone	8 Schritt	sofort	alle	KL	IN	CH
SPELL_129	Heptagramma	Ein niederer Geist wird gebannt, wenn der Zauberer mehr QS erzielt, als die Anrufungsschwierigkeit beträgt (Anrufungsschwierigkeiten von 0 oder höher zählen als 0). Es kann sich dabei sowohl um einen beschworenes als auch um ein freies Geisterwesen handeln. Ebenso ist es möglich, Geister zu bannen, die an Objekte oder Wesen gebunden bzw. in diese eingefahren sind.<br>	8 Aktionen	8 AsP	8 Schritt	sofort	Beseelte, Geister	MU	KL	CH
SPELL_130	Herzschlag ruhe	Der Herzschlag des Ziels wird ausgesetzt, wodurch es jede Kampfrunde 1W3 LeP verliert. Mit Hilfe einer Probe auf *Selbstbeherrschung* erschwert um die QS oder auf *Heilkunde Wunden (Stabilisieren)* erschwert um QS/2 kann die Wirkung des Zaubers gestoppt werden. Eine Probe zählt als Aktion. Die *Heilkunde Wunden*-Probe kann sowohl das Opfer des Zaubers selbst als auch eine dritte Person einsetzen.	4 Aktionen	16 AsP	Berührung	QS x 3 Kampfrunden	Lebewesen	MU	CH	KK
SPELL_131	Hexagramma	Ein Elementargeist wird gebannt, wenn der Zauberer mehr QS erzielt, als die Anrufungsschwierigkeit beträgt (Anrufungsschwierigkeiten von 0 oder höher zählen als 0). Es kann sich dabei sowohl um einen beschworenen als auch um einen freien Elementargeist handeln. Ebenso ist es möglich, Elementargeister zu bannen, die an Objekte oder Wesen gebunden bzw. in diese eingefahren sind.<br>	8 Aktionen	16 AsP	8 Schritt	sofort	Elementare	MU	KL	CH
